event_id,well_id,event_type,start_depth,end_depth,formation,severity,cause,impact,mitigation,lesson_learned,npt_hours,source_document,source_page,confidence,is_demo_data
EVT-0011,WELL-003,LOST_CIRCULATION,4122.7,4167.1,Kopili Formation,CRITICAL,Penetrated open micro-fractures in Sylhet Limestone formation.,100% loss of drilling fluid returns; pit level dropped rapidly.,Pumped heavy bridging LCM blend followed by gunk plug (diesel-bentonite-cement); cured loss zone and resumed blind drilling with water cap.,Prepare pre-mixed LCM tanks and fibrous loss materials prior to penetrating top of Sylhet Limestone.,41.7,Nahorkatiya-67_DDR_Final_Report.pdf,37,0.9,True
EVT-0012,WELL-003,MUD_LOSS,3428.8,3449.0,Barail Sandstone,HIGH,Encountered depleted sandstone reservoir streak with low pore pressure relative to active mud column.,Sudden drop in active pit volume by 45 bbls; standpipe pressure dropped by 180 psi.,"Reduced mud pump rate to 1800 LPM, pumped 35 bbl high-fluid-loss LCM pill (medium calcium carbonate + walnut shells), reduced mud weight from 1.32 to 1.26 SG.",Pre-treat active system with fine CaCO3 before penetrating upper Barail Sand boundary. Monitor flow paddle response diligently.,23.0,Nahorkatiya-67_DDR_Final_Report.pdf,43,0.9,True
EVT-0013,WELL-003,TORQUE_SPIKE,2681.7,2723.5,Tipam Sandstone,MEDIUM,High dogleg severity and sloughing shale cavings creating keyseating and friction in 8.5 inch section.,Erratic rotary torque surging from 14 kNm to 28 kNm; top drive stalled twice.,"Picked up off bottom, increased flow rate to maximum hole cleaning threshold (2400 LPM), pumped 20 bbl high-viscosity sweep, performed short wiper trip.",Maintain hole inclination change below 2.5 deg/30m in Girujan and Barail Shale sections.,9.4,Nahorkatiya-67_DDR_Final_Report.pdf,43,0.96,True
EVT-0014,WELL-003,LOST_CIRCULATION,3821.4,3853.1,Barail Coal-Shale,CRITICAL,Penetrated open micro-fractures in Sylhet Limestone formation.,100% loss of drilling fluid returns; pit level dropped rapidly.,Pumped heavy bridging LCM blend followed by gunk plug (diesel-bentonite-cement); cured loss zone and resumed blind drilling with water cap.,Prepare pre-mixed LCM tanks and fibrous loss materials prior to penetrating top of Sylhet Limestone.,47.8,Nahorkatiya-67_DDR_Final_Report.pdf,45,0.91,True
EVT-0015,WELL-004,STUCK_PIPE,4569.5,4589.7,Sylhet Limestone,CRITICAL,Differential sticking while stationary for survey across permeable Barail Sand with 450 psi overbalance.,Drillstring unable to reciprocate or rotate; overpull reached 65 tons with zero pipe movement.,Spotted 40 bbl lubricating oil-based pipe-freeing pill across stuck interval; applied maximum torque (24 kNm) and jarred downward with hydraulic jar for 4.5 hours.,Never keep drillstring stationary for > 3 minutes across Barail formation. Maintain pipe rotation and use low-gravity solids control.,42.5,Moran-120_DDR_Final_Report.pdf,12,0.94,True
EVT-0016,WELL-004,KICK,4534.4,4539.4,Sylhet Limestone,CRITICAL,Drilled into unexpected high-pressure gas pocket in lower Bokabil / upper Barail transition zone.,"Pit gain of 18 bbls observed with active gas influx; shut-in drillpipe pressure (SIDPP) stabilized at 320 psi, SICP at 410 psi.","Shut in well using annular preventer, verified shut-in pressures, circulated gas influx out via choke manifold using Wait and Weight method with 1.36 SG kill mud.",Perform flow check on any ROP drilling break > 4 m/hr. Ensure degasser and trip tank level sensors are calibrated.,25.8,Moran-120_DDR_Final_Report.pdf,28,0.96,True
EVT-0017,WELL-004,PACK_OFF,4132.7,4155.4,Kopili Formation,HIGH,Severe shale sloughing and inadequate cutting transport leading to annular bridge around BHA stabilizers.,Sudden pressure spike of 900 psi on standpipe; total loss of returns due to annular bridging.,"Immediately stopped pumps, worked drillstring with light tension, slowly re-established circulation at low rate (800 LPM) while rotating at 40 RPM.",Increase polymer encapsulation concentration and optimize flow rheology (YP > 22 lb/100ft2) before drilling Barail Coal-Shale.,13.0,Moran-120_DDR_Final_Report.pdf,31,0.96,True
EVT-0018,WELL-004,CEMENTING_ISSUE,3000.6,3017.0,Bokabil Formation,HIGH,Channeling of cement slurry due to poor mud cake removal and incomplete hole cleaning across washed out section.,CBL-VDL log indicated poor bond quality across target production reservoir interval.,Perforated squeeze holes at 3380 m and executed block squeeze cementing with microfine cement at 2800 psi.,Run centralizers at 1 per joint across hydrocarbon zones and utilize high-energy weighted spacer with chemical wash.,45.5,Moran-120_DDR_Final_Report.pdf,40,0.91,True
EVT-0019,WELL-004,CEMENTING_ISSUE,3506.4,3520.4,Barail Sandstone,HIGH,Channeling of cement slurry due to poor mud cake removal and incomplete hole cleaning across washed out section.,CBL-VDL log indicated poor bond quality across target production reservoir interval.,Perforated squeeze holes at 3380 m and executed block squeeze cementing with microfine cement at 2800 psi.,Run centralizers at 1 per joint across hydrocarbon zones and utilize high-energy weighted spacer with chemical wash.,34.9,Moran-120_DDR_Final_Report.pdf,2,0.88,True
EVT-0020,WELL-005,PACK_OFF,2311.6,2352.0,Tipam Sandstone,HIGH,Severe shale sloughing and inadequate cutting transport leading to annular bridge around BHA stabilizers.,Sudden pressure spike of 900 psi on standpipe; total loss of returns due to annular bridging.,"Immediately stopped pumps, worked drillstring with light tension, slowly re-established circulation at low rate (800 LPM) while rotating at 40 RPM.",Increase polymer encapsulation concentration and optimize flow rheology (YP > 22 lb/100ft2) before drilling Barail Coal-Shale.,16.0,Jorajan-23_DDR_Final_Report.pdf,45,0.92,True
EVT-0021,WELL-005,TORQUE_SPIKE,3243.8,3276.3,Barail Sandstone,MEDIUM,High dogleg severity and sloughing shale cavings creating keyseating and friction in 8.5 inch section.,Erratic rotary torque surging from 14 kNm to 28 kNm; top drive stalled twice.,"Picked up off bottom, increased flow rate to maximum hole cleaning threshold (2400 LPM), pumped 20 bbl high-viscosity sweep, performed short wiper trip.",Maintain hole inclination change below 2.5 deg/30m in Girujan and Barail Shale sections.,10.7,Jorajan-23_DDR_Final_Report.pdf,7,0.96,True
EVT-0022,WELL-005,STUCK_PIPE,3426.3,3443.8,Barail Sandstone,CRITICAL,Differential sticking while stationary for survey across permeable Barail Sand with 450 psi overbalance.,Drillstring unable to reciprocate or rotate; overpull reached 65 tons with zero pipe movement.,Spotted 40 bbl lubricating oil-based pipe-freeing pill across stuck interval; applied maximum torque (24 kNm) and jarred downward with hydraulic jar for 4.5 hours.,Never keep drillstring stationary for > 3 minutes across Barail formation. Maintain pipe rotation and use low-gravity solids control.,45.9,Jorajan-23_DDR_Final_Report.pdf,8,0.93,True
EVT-0023,WELL-005,CEMENTING_ISSUE,5020.4,5064.9,Disang Formation,HIGH,Channeling of cement slurry due to poor mud cake removal and incomplete hole cleaning across washed out section.,CBL-VDL log indicated poor bond quality across target production reservoir interval.,Perforated squeeze holes at 3380 m and executed block squeeze cementing with microfine cement at 2800 psi.,Run centralizers at 1 per joint across hydrocarbon zones and utilize high-energy weighted spacer with chemical wash.,44.0,Jorajan-23_DDR_Final_Report.pdf,29,0.94,True
EVT-0024,WELL-005,LOST_CIRCULATION,4619.2,4646.1,Sylhet Limestone,CRITICAL,Penetrated open micro-fractures in Sylhet Limestone formation.,100% loss of drilling fluid returns; pit level dropped rapidly.,Pumped heavy bridging LCM blend followed by gunk plug (diesel-bentonite-cement); cured loss zone and resumed blind drilling with water cap.,Prepare pre-mixed LCM tanks and fibrous loss materials prior to penetrating top of Sylhet Limestone.,64.2,Jorajan-23_DDR_Final_Report.pdf,31,0.93,True
EVT-0025,WELL-005,CEMENTING_ISSUE,3589.9,3606.0,Barail Sandstone,HIGH,Channeling of cement slurry due to poor mud cake removal and incomplete hole cleaning across washed out section.,CBL-VDL log indicated poor bond quality across target production reservoir interval.,Perforated squeeze holes at 3380 m and executed block squeeze cementing with microfine cement at 2800 psi.,Run centralizers at 1 per joint across hydrocarbon zones and utilize high-energy weighted spacer with chemical wash.,48.1,Jorajan-23_DDR_Final_Report.pdf,32,0.94,True
EVT-0026,WELL-005,KICK,3419.5,3432.9,Barail Sandstone,CRITICAL,Drilled into unexpected high-pressure gas pocket in lower Bokabil / upper Barail transition zone.,"Pit gain of 18 bbls observed with active gas influx; shut-in drillpipe pressure (SIDPP) stabilized at 320 psi, SICP at 410 psi.","Shut in well using annular preventer, verified shut-in pressures, circulated gas influx out via choke manifold using Wait and Weight method with 1.36 SG kill mud.",Perform flow check on any ROP drilling break > 4 m/hr. Ensure degasser and trip tank level sensors are calibrated.,29.8,Jorajan-23_DDR_Final_Report.pdf,9,0.9,True
EVT-0027,WELL-006,LOST_CIRCULATION,3017.2,3024.8,Bokabil Formation,CRITICAL,Penetrated open micro-fractures in Sylhet Limestone formation.,100% loss of drilling fluid returns; pit level dropped rapidly.,Pumped heavy bridging LCM blend followed by gunk plug (diesel-bentonite-cement); cured loss zone and resumed blind drilling with water cap.,Prepare pre-mixed LCM tanks and fibrous loss materials prior to penetrating top of Sylhet Limestone.,50.1,Nahorkatiya-23_DDR_Final_Report.pdf,35,0.93,True
EVT-0028,WELL-006,MUD_LOSS,3586.4,3607.0,Barail Sandstone,HIGH,Encountered depleted sandstone reservoir streak with low pore pressure relative to active mud column.,Sudden drop in active pit volume by 45 bbls; standpipe pressure dropped by 180 psi.,"Reduced mud pump rate to 1800 LPM, pumped 35 bbl high-fluid-loss LCM pill (medium calcium carbonate + walnut shells), reduced mud weight from 1.32 to 1.26 SG.",Pre-treat active system with fine CaCO3 before penetrating upper Barail Sand boundary. Monitor flow paddle response diligently.,23.3,Nahorkatiya-23_DDR_Final_Report.pdf,45,0.88,True
EVT-0029,WELL-006,CEMENTING_ISSUE,4513.1,4555.8,Sylhet Limestone,HIGH,Channeling of cement slurry due to poor mud cake removal and incomplete hole cleaning across washed out section.,CBL-VDL log indicated poor bond quality across target production reservoir interval.,Perforated squeeze holes at 3380 m and executed block squeeze cementing with microfine cement at 2800 psi.,Run centralizers at 1 per joint across hydrocarbon zones and utilize high-energy weighted spacer with chemical wash.,37.2,Nahorkatiya-23_DDR_Final_Report.pdf,25,0.97,True
EVT-0030,WELL-006,CEMENTING_ISSUE,4531.5,4565.9,Sylhet Limestone,HIGH,Channeling of cement slurry due to poor mud cake removal and incomplete hole cleaning across washed out section.,CBL-VDL log indicated poor bond quality across target production reservoir interval.,Perforated squeeze holes at 3380 m and executed block squeeze cementing with microfine cement at 2800 psi.,Run centralizers at 1 per joint across hydrocarbon zones and utilize high-energy weighted spacer with chemical wash.,48.6,Nahorkatiya-23_DDR_Final_Report.pdf,15,0.93,True
EVT-0031,WELL-006,KICK,4515.7,4536.3,Sylhet Limestone,CRITICAL,Drilled into unexpected high-pressure gas pocket in lower Bokabil / upper Barail transition zone.,"Pit gain of 18 bbls observed with active gas influx; shut-in drillpipe pressure (SIDPP) stabilized at 320 psi, SICP at 410 psi.","Shut in well using annular preventer, verified shut-in pressures, circulated gas influx out via choke manifold using Wait and Weight method with 1.36 SG kill mud.",Perform flow check on any ROP drilling break > 4 m/hr. Ensure degasser and trip tank level sensors are calibrated.,31.8,Nahorkatiya-23_DDR_Final_Report.pdf,26,0.95,True
EVT-0032,WELL-006,CEMENTING_ISSUE,5133.8,5178.0,Disang Formation,HIGH,Channeling of cement slurry due to poor mud cake removal and incomplete hole cleaning across washed out section.,CBL-VDL log indicated poor bond quality across target production reservoir interval.,Perforated squeeze holes at 3380 m and executed block squeeze cementing with microfine cement at 2800 psi.,Run centralizers at 1 per joint across hydrocarbon zones and utilize high-energy weighted spacer with chemical wash.,42.6,Nahorkatiya-23_DDR_Final_Report.pdf,26,0.94,True
EVT-0033,WELL-006,LOST_CIRCULATION,1187.2,1209.3,Girujan Clay,CRITICAL,Penetrated open micro-fractures in Sylhet Limestone formation.,100% loss of drilling fluid returns; pit level dropped rapidly.,Pumped heavy bridging LCM blend followed by gunk plug (diesel-bentonite-cement); cured loss zone and resumed blind drilling with water cap.,Prepare pre-mixed LCM tanks and fibrous loss materials prior to penetrating top of Sylhet Limestone.,63.4,Nahorkatiya-23_DDR_Final_Report.pdf,12,0.89,True
EVT-0034,WELL-007,KICK,3397.3,3415.8,Barail Sandstone,CRITICAL,Drilled into unexpected high-pressure gas pocket in lower Bokabil / upper Barail transition zone.,"Pit gain of 18 bbls observed with active gas influx; shut-in drillpipe pressure (SIDPP) stabilized at 320 psi, SICP at 410 psi.","Shut in well using annular preventer, verified shut-in pressures, circulated gas influx out via choke manifold using Wait and Weight method with 1.36 SG kill mud.",Perform flow check on any ROP drilling break > 4 m/hr. Ensure degasser and trip tank level sensors are calibrated.,35.2,Tengakhat-53_DDR_Final_Report.pdf,18,0.96,True
EVT-0035,WELL-007,CEMENTING_ISSUE,4445.7,4454.0,Sylhet Limestone,HIGH,Channeling of cement slurry due to poor mud cake removal and incomplete hole cleaning across washed out section.,CBL-VDL log indicated poor bond quality across target production reservoir interval.,Perforated squeeze holes at 3380 m and executed block squeeze cementing with microfine cement at 2800 psi.,Run centralizers at 1 per joint across hydrocarbon zones and utilize high-energy weighted spacer with chemical wash.,30.8,Tengakhat-53_DDR_Final_Report.pdf,35,0.89,True
EVT-0036,WELL-007,KICK,3495.1,3531.3,Barail Sandstone,CRITICAL,Drilled into unexpected high-pressure gas pocket in lower Bokabil / upper Barail transition zone.,"Pit gain of 18 bbls observed with active gas influx; shut-in drillpipe pressure (SIDPP) stabilized at 320 psi, SICP at 410 psi.","Shut in well using annular preventer, verified shut-in pressures, circulated gas influx out via choke manifold using Wait and Weight method with 1.36 SG kill mud.",Perform flow check on any ROP drilling break > 4 m/hr. Ensure degasser and trip tank level sensors are calibrated.,31.6,Tengakhat-53_DDR_Final_Report.pdf,2,0.97,True
EVT-0037,WELL-007,STUCK_PIPE,1617.1,1631.6,Girujan Clay,CRITICAL,Differential sticking while stationary for survey across permeable Barail Sand with 450 psi overbalance.,Drillstring unable to reciprocate or rotate; overpull reached 65 tons with zero pipe movement.,Spotted 40 bbl lubricating oil-based pipe-freeing pill across stuck interval; applied maximum torque (24 kNm) and jarred downward with hydraulic jar for 4.5 hours.,Never keep drillstring stationary for > 3 minutes across Barail formation. Maintain pipe rotation and use low-gravity solids control.,36.9,Tengakhat-53_DDR_Final_Report.pdf,8,0.94,True
EVT-0038,WELL-007,STUCK_PIPE,5034.8,5070.5,Disang Formation,CRITICAL,Differential sticking while stationary for survey across permeable Barail Sand with 450 psi overbalance.,Drillstring unable to reciprocate or rotate; overpull reached 65 tons with zero pipe movement.,Spotted 40 bbl lubricating oil-based pipe-freeing pill across stuck interval; applied maximum torque (24 kNm) and jarred downward with hydraulic jar for 4.5 hours.,Never keep drillstring stationary for > 3 minutes across Barail formation. Maintain pipe rotation and use low-gravity solids control.,30.6,Tengakhat-53_DDR_Final_Report.pdf,39,0.98,True
EVT-0039,WELL-007,LOST_CIRCULATION,2553.3,2564.9,Tipam Sandstone,CRITICAL,Penetrated open micro-fractures in Sylhet Limestone formation.,100% loss of drilling fluid returns; pit level dropped rapidly.,Pumped heavy bridging LCM blend followed by gunk plug (diesel-bentonite-cement); cured loss zone and resumed blind drilling with water cap.,Prepare pre-mixed LCM tanks and fibrous loss materials prior to penetrating top of Sylhet Limestone.,47.4,Tengakhat-53_DDR_Final_Report.pdf,38,0.88,True
EVT-0040,WELL-007,KICK,4489.0,4522.6,Sylhet Limestone,CRITICAL,Drilled into unexpected high-pressure gas pocket in lower Bokabil / upper Barail transition zone.,"Pit gain of 18 bbls observed with active gas influx; shut-in drillpipe pressure (SIDPP) stabilized at 320 psi, SICP at 410 psi.","Shut in well using annular preventer, verified shut-in pressures, circulated gas influx out via choke manifold using Wait and Weight method with 1.36 SG kill mud.",Perform flow check on any ROP drilling break > 4 m/hr. Ensure degasser and trip tank level sensors are calibrated.,22.4,Tengakhat-53_DDR_Final_Report.pdf,45,0.96,True
EVT-0041,WELL-008,MUD_LOSS,3414.2,3438.9,Barail Sandstone,HIGH,Encountered depleted sandstone reservoir streak with low pore pressure relative to active mud column.,Sudden drop in active pit volume by 45 bbls; standpipe pressure dropped by 180 psi.,"Reduced mud pump rate to 1800 LPM, pumped 35 bbl high-fluid-loss LCM pill (medium calcium carbonate + walnut shells), reduced mud weight from 1.32 to 1.26 SG.",Pre-treat active system with fine CaCO3 before penetrating upper Barail Sand boundary. Monitor flow paddle response diligently.,23.5,Kumchai-81_DDR_Final_Report.pdf,23,0.93,True
EVT-0042,WELL-008,LOST_CIRCULATION,3994.1,4025.0,Kopili Formation,CRITICAL,Penetrated open micro-fractures in Sylhet Limestone formation.,100% loss of drilling fluid returns; pit level dropped rapidly.,Pumped heavy bridging LCM blend followed by gunk plug (diesel-bentonite-cement); cured loss zone and resumed blind drilling with water cap.,Prepare pre-mixed LCM tanks and fibrous loss materials prior to penetrating top of Sylhet Limestone.,38.8,Kumchai-81_DDR_Final_Report.pdf,27,0.96,True
EVT-0043,WELL-008,MUD_LOSS,3439.0,3459.0,Barail Sandstone,HIGH,Encountered depleted sandstone reservoir streak with low pore pressure relative to active mud column.,Sudden drop in active pit volume by 45 bbls; standpipe pressure dropped by 180 psi.,"Reduced mud pump rate to 1800 LPM, pumped 35 bbl high-fluid-loss LCM pill (medium calcium carbonate + walnut shells), reduced mud weight from 1.32 to 1.26 SG.",Pre-treat active system with fine CaCO3 before penetrating upper Barail Sand boundary. Monitor flow paddle response diligently.,19.6,Kumchai-81_DDR_Final_Report.pdf,34,0.98,True
EVT-0044,WELL-008,KICK,3430.7,3444.2,Barail Sandstone,CRITICAL,Drilled into unexpected high-pressure gas pocket in lower Bokabil / upper Barail transition zone.,"Pit gain of 18 bbls observed with active gas influx; shut-in drillpipe pressure (SIDPP) stabilized at 320 psi, SICP at 410 psi.","Shut in well using annular preventer, verified shut-in pressures, circulated gas influx out via choke manifold using Wait and Weight method with 1.36 SG kill mud.",Perform flow check on any ROP drilling break > 4 m/hr. Ensure degasser and trip tank level sensors are calibrated.,25.1,Kumchai-81_DDR_Final_Report.pdf,6,0.91,True
EVT-0045,WELL-008,TORQUE_SPIKE,3545.2,3573.0,Barail Sandstone,MEDIUM,High dogleg severity and sloughing shale cavings creating keyseating and friction in 8.5 inch section.,Erratic rotary torque surging from 14 kNm to 28 kNm; top drive stalled twice.,"Picked up off bottom, increased flow rate to maximum hole cleaning threshold (2400 LPM), pumped 20 bbl high-viscosity sweep, performed short wiper trip.",Maintain hole inclination change below 2.5 deg/30m in Girujan and Barail Shale sections.,9.6,Kumchai-81_DDR_Final_Report.pdf,22,0.88,True
EVT-0046,WELL-009,STUCK_PIPE,4815.5,4852.4,Disang Formation,CRITICAL,Differential sticking while stationary for survey across permeable Barail Sand with 450 psi overbalance.,Drillstring unable to reciprocate or rotate; overpull reached 65 tons with zero pipe movement.,Spotted 40 bbl lubricating oil-based pipe-freeing pill across stuck interval; applied maximum torque (24 kNm) and jarred downward with hydraulic jar for 4.5 hours.,Never keep drillstring stationary for > 3 minutes across Barail formation. Maintain pipe rotation and use low-gravity solids control.,34.1,Kumchai-80_DDR_Final_Report.pdf,39,0.95,True
EVT-0047,WELL-009,KICK,1533.3,1545.9,Girujan Clay,CRITICAL,Drilled into unexpected high-pressure gas pocket in lower Bokabil / upper Barail transition zone.,"Pit gain of 18 bbls observed with active gas influx; shut-in drillpipe pressure (SIDPP) stabilized at 320 psi, SICP at 410 psi.","Shut in well using annular preventer, verified shut-in pressures, circulated gas influx out via choke manifold using Wait and Weight method with 1.36 SG kill mud.",Perform flow check on any ROP drilling break > 4 m/hr. Ensure degasser and trip tank level sensors are calibrated.,25.0,Kumchai-80_DDR_Final_Report.pdf,27,0.93,True
EVT-0048,WELL-009,CEMENTING_ISSUE,3515.3,3546.1,Barail Sandstone,HIGH,Channeling of cement slurry due to poor mud cake removal and incomplete hole cleaning across washed out section.,CBL-VDL log indicated poor bond quality across target production reservoir interval.,Perforated squeeze holes at 3380 m and executed block squeeze cementing with microfine cement at 2800 psi.,Run centralizers at 1 per joint across hydrocarbon zones and utilize high-energy weighted spacer with chemical wash.,41.6,Kumchai-80_DDR_Final_Report.pdf,2,0.89,True
EVT-0049,WELL-009,STUCK_PIPE,4577.5,4594.7,Sylhet Limestone,CRITICAL,Differential sticking while stationary for survey across permeable Barail Sand with 450 psi overbalance.,Drillstring unable to reciprocate or rotate; overpull reached 65 tons with zero pipe movement.,Spotted 40 bbl lubricating oil-based pipe-freeing pill across stuck interval; applied maximum torque (24 kNm) and jarred downward with hydraulic jar for 4.5 hours.,Never keep drillstring stationary for > 3 minutes across Barail formation. Maintain pipe rotation and use low-gravity solids control.,39.1,Kumchai-80_DDR_Final_Report.pdf,31,0.94,True
EVT-0050,WELL-009,KICK,4669.0,4696.0,Sylhet Limestone,CRITICAL,Drilled into unexpected high-pressure gas pocket in lower Bokabil / upper Barail transition zone.,"Pit gain of 18 bbls observed with active gas influx; shut-in drillpipe pressure (SIDPP) stabilized at 320 psi, SICP at 410 psi.","Shut in well using annular preventer, verified shut-in pressures, circulated gas influx out via choke manifold using Wait and Weight method with 1.36 SG kill mud.",Perform flow check on any ROP drilling break > 4 m/hr. Ensure degasser and trip tank level sensors are calibrated.,26.8,Kumchai-80_DDR_Final_Report.pdf,30,0.91,True
EVT-0051,WELL-009,KICK,3230.3,3243.0,Barail Sandstone,CRITICAL,Drilled into unexpected high-pressure gas pocket in lower Bokabil / upper Barail transition zone.,"Pit gain of 18 bbls observed with active gas influx; shut-in drillpipe pressure (SIDPP) stabilized at 320 psi, SICP at 410 psi.","Shut in well using annular preventer, verified shut-in pressures, circulated gas influx out via choke manifold using Wait and Weight method with 1.36 SG kill mud.",Perform flow check on any ROP drilling break > 4 m/hr. Ensure degasser and trip tank level sensors are calibrated.,23.1,Kumchai-80_DDR_Final_Report.pdf,35,0.98,True
EVT-0052,WELL-010,STUCK_PIPE,3539.3,3555.4,Barail Sandstone,CRITICAL,Differential sticking while stationary for survey across permeable Barail Sand with 450 psi overbalance.,Drillstring unable to reciprocate or rotate; overpull reached 65 tons with zero pipe movement.,Spotted 40 bbl lubricating oil-based pipe-freeing pill across stuck interval; applied maximum torque (24 kNm) and jarred downward with hydraulic jar for 4.5 hours.,Never keep drillstring stationary for > 3 minutes across Barail formation. Maintain pipe rotation and use low-gravity solids control.,39.2,Jorajan-47_DDR_Final_Report.pdf,34,0.94,True
