id,well_id,from_depth,to_depth,mud_type,mud_weight_min,mud_weight_max,viscosity,pv,yp,ph,is_demo_data
19,WELL-007,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
20,WELL-007,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
21,WELL-007,2950.0,4250.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
22,WELL-008,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
23,WELL-008,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
24,WELL-008,2950.0,4650.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
25,WELL-009,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
26,WELL-009,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
27,WELL-009,2950.0,4650.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
28,WELL-010,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
29,WELL-010,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
30,WELL-010,2950.0,4250.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
31,WELL-011,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
32,WELL-011,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
33,WELL-011,2950.0,4100.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
34,WELL-012,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
35,WELL-012,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
36,WELL-012,2950.0,3850.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
37,WELL-013,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
38,WELL-013,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
39,WELL-013,2950.0,4900.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
40,WELL-014,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
41,WELL-014,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
42,WELL-014,2950.0,4650.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
43,WELL-015,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
44,WELL-015,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
45,WELL-015,2950.0,3850.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
46,WELL-016,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
47,WELL-016,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
48,WELL-016,2950.0,4650.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
49,WELL-017,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
50,WELL-017,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
51,WELL-017,2950.0,4100.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
52,WELL-018,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
53,WELL-018,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
54,WELL-018,2950.0,4100.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
55,WELL-019,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
56,WELL-019,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
57,WELL-019,2950.0,4650.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
58,WELL-020,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
59,WELL-020,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
60,WELL-020,2950.0,4450.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
61,WELL-021,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
62,WELL-021,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
63,WELL-021,2950.0,4450.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
64,WELL-022,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
65,WELL-022,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
66,WELL-022,2950.0,3850.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
67,WELL-023,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
68,WELL-023,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
69,WELL-023,2950.0,3850.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
70,WELL-024,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
71,WELL-024,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
72,WELL-024,2950.0,3850.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
73,WELL-025,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
74,WELL-025,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
75,WELL-025,2950.0,4100.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
76,WELL-026,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
77,WELL-026,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
78,WELL-026,2950.0,4450.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
79,WELL-027,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
80,WELL-027,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
81,WELL-027,2950.0,4250.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
82,WELL-028,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
83,WELL-028,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
84,WELL-028,2950.0,3850.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
85,WELL-029,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
86,WELL-029,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
87,WELL-029,2950.0,4650.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
88,WELL-030,0.0,1100.0,Bentonite Spud Mud,1.04,1.08,38,12,18,9.0,True
89,WELL-030,1100.0,2950.0,KCL-Polymer Inhibitive Mud,1.15,1.22,48,18,24,9.5,True
90,WELL-030,2950.0,4100.0,Low-Solids Non-Dispersed Polymer,1.25,1.34,54,22,28,9.8,True
